Code;uulib;Quality;displayed error;Quality
use of 'CORNCEPT' instead of CONCEPT;"Error(s) found:

before upper case identifier CORNCEPT at line 7, column 1 of file ""Hypotheek.adl
""
Expecting ""ENDPATTERN"" or (lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT""
 or ""IDENT"" or ""KEY"" or ""POPULATION"" or ""PURPOSE"" or ""RELATION"" or ""ROLE"" or ""RU
LE"" or ""SPEC"" or ""VIEW"" ...)*
Try inserting symbol ""CONCEPT""";Good;"[PE ""ArchitectureAndDesign/Syntax/Hypotheek.adl"" (line 7, column 1):
unexpected Upper case identifier CORNCEPT
expecting Keyword ""RULE"", Keyword ""CLASSIFY"", Keyword ""RELATION"", Keyword ""CONCEPT"", Keyword ""SPEC"", Keyword ""IDENT"", Keyword ""VIEW"", Keyword ""KEY"", Keyword ""PURPOSE"", Keyword ""POPULATION"" or Keyword ""ENDPATTERN""]";Yes
"clientName :: Client -Z> Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]
";"Error(s) found:

before ""-"" at line 14, column 22 of file ""testfle_mba.adl""
Expecting symbol [ or ""*"" or ""->"" or ""<-""
Try inserting symbol symbol [

==============================

before upper case identifier Z at line 14, column 23 of file ""testfle_mba.adl""
Expecting symbol ] or ""*"" or ""0"" or ""1""
Try inserting symbol symbol ]

==============================

before "">"" at line 14, column 24 of file ""testfle_mba.adl""
Expecting symbol [ or lower case identifier ?lc? or ""."" or ""="" or ""BYPLUG"" or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or
""KEY"" or ""META"" or ""PATTERN"" or ""PHPPLUG"" or ""POPULATION"" or ""PRAGMA"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""V
IEW"" or (""MEANING"" ...)*
Try deleting symbol "">"" at line 14, column 24 of file ""testfile_mba.adl""

==============================

before upper case identifier Name at line 14, column 26 of file ""testfle_mba.adl
"" Expecting lower case identifier ?lc? or ""."" or ""="" or ""CLASSIFY"" or ""CONCEPT"" or  ""ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPLUG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol upper case identifier Name at line 14, column 26 of file ""testfile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 22):
unexpected Operator '-'
expecting Operator '*', Operator '->', Operator '<-' or Symbol '['";Yes
"clientName :: Client ** Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before ""*"" at line 14, column 23 of file ""testfile_mba.adl""
Expecting upper case identifier ?uc? or string """"
Try deleting symbol ""*"" at line 14, column 23 of file ""testfile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 23):
unexpected Operator '*'";Yes
"clientName :: Client [] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before symbol ] at line 14, column 23 of file ""testfile_mba.adl""
Expecting ""*"" or ""-"" or ""0"" or ""1""
Try inserting symbol ""-""

";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 23):
unexpected Symbol ']'
expecting Integer 0, Hexadecimal 0x, Octal 0o, Integer 1, Hexadecimal 0x1, Octal 0o1, Operator '*' or Operator '-'";Yes
"clientName :: Client [0..2-*] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before decimal Integer 2 at line 14, column 26 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try deleting symbol decimal Integer 2 at line 14, column 26 of file ""testfile_mb
a.adl""

==============================

before ""-"" at line 14, column 27 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try inserting symbol ""1""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 26):
unexpected Integer 2
expecting Integer 1, Hexadecimal 0x1, Octal 0o1 or Operator '*'";
"clientName :: Client [0..1] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before symbol ] at line 14, column 27 of file ""testfile_mba.adl""
Expecting ""-""
Try inserting symbol ""-""
";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 27):
unexpected Symbol ']'
expecting Operator '-'";
"clientName :: Client [0-1] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before ""-"" at line 14, column 24 of file ""testfile_mba.adl""
Expecting ""..""
Try inserting symbol ""..""

==============================

before ""-"" at line 14, column 24 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try inserting symbol ""1""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 24):
unexpected Operator '-'
expecting Operator '..'";
"clientName :: Client [0-a] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before ""-"" at line 14, column 24 of file ""testfile_mba.adl""
Expecting ""..""
Try inserting symbol ""..""

==============================

before ""-"" at line 14, column 24 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try inserting symbol ""1""

==============================

before lower case identifier a at line 14, column 25 of file ""testfile_mba.adl""
Expecting symbol ] or ""*"" or ""0"" or ""1""
Try deleting symbol lower case identifier a at line 14, column 25 of file ""testf
ile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 24):
unexpected Operator '-'
expecting Operator '..'
";
"clientName :: Client [*-1..0] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before ""0"" at line 14, column 28 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try deleting symbol ""0"" at line 14, column 28 of file ""testfile_mba.adl""

==============================

before symbol ] at line 14, column 29 of file ""testfile_mba.adl""
Expecting ""*"" or ""1""
Try inserting symbol ""1""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 28):
unexpected Integer 0
expecting Integer 1, Hexadecimal 0x1, Octal 0o1 or Operator '*'";
"clientName :: 0Client [*-1..1] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before ""0"" at line 14, column 15 of file ""testfile_mba.adl""
Expecting upper case identifier ?uc? or string """"
Try deleting symbol ""0"" at line 14, column 15 of file ""testfile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 15):
unexpected Integer 0";
